LocalityHint,TableSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock
3,1000000,20,Time WITHOUT software prefetching: 128 microseconds.13974530,8072327,10836625336,3160706789,0,2180478,2815,4597,0,1565606077,776156,7792833,861.42
3,1000000,24,Time WITHOUT software prefetching: 130 microseconds.14017128,8020489,10768324995,3168169308,0,2176524,2803,4166,0,1573488594,823219,7845269,866.39
3,1000000,28,Time WITHOUT software prefetching: 131 microseconds.13870250,8034886,10849532996,3160764052,0,2191624,2708,573,0,1567705085,647823,7778069,860.06
3,6000000,4,Time WITHOUT software prefetching: 138 microseconds.83574115,48255345,65213871463,19215355507,0,12991307,3715,4283,0,9369422238,5083662,46646675,5206.44
3,6000000,8,Time WITHOUT software prefetching: 146 microseconds.83355918,48218004,65228272538,19265501285,0,13019826,3464,3662,0,9372506906,5085901,46594599,5294.34
3,6000000,12,Time WITHOUT software prefetching: 134 microseconds.83554005,48227155,65243723801,19326062505,0,12946693,1852,4989,0,9385309331,5272655,47186721,5189.34
3,6000000,16,Time WITHOUT software prefetching: 136 microseconds.83325803,48204928,65221826064,19244515051,0,13022301,3353,4262,0,9378235193,5015679,46564357,5268.93
3,6000000,20,Time WITHOUT software prefetching: 142 microseconds.83342087,48184198,65206752015,19443480905,0,13018670,3583,4453,0,9391580065,5107197,47043719,5340.09
3,6000000,24,Time WITHOUT software prefetching: 134 microseconds.83576140,48213112,65176611440,19113171285,0,12972746,3413,4096,0,9383794177,4958861,46570833,5238.27
3,6000000,28,Time WITHOUT software prefetching: 134 microseconds.83584194,48236097,65201031428,19135623673,0,12974774,3466,2258,0,9399139710,4988666,46543448,5263.15
3,10000000,4,Time WITHOUT software prefetching: 201 microseconds.139055941,80309323,108518487387,32714972950,0,21711062,3168,9463,0,15650980744,10699016,77749979,9029.96
3,10000000,8,Time WITHOUT software prefetching: 163 microseconds.139254866,80431701,108642773753,32693280545,0,21659060,3154,9312,0,15660480262,10776757,77796948,9000.81
3,10000000,12,Time WITHOUT software prefetching: 167 microseconds.139114827,80313221,108468668698,32856176267,0,21699874,3156,6895,0,15686612768,10713330,77930850,9142.87
3,10000000,16,Time WITHOUT software prefetching: 163 microseconds.139085250,80278548,108527735246,33047303112,0,21702405,3303,10446,0,15664736177,10677168,78745980,8987.54
3,10000000,20,Time WITHOUT software prefetching: 168 microseconds.139179744,80344672,108573164852,32805463089,0,21716243,3321,9369,0,15646978820,10870932,77635877,9156.74
3,10000000,24,Time WITHOUT software prefetching: 159 microseconds.139193946,80356015,108553707281,32999410865,0,21699388,3109,10375,0,15665801089,11291303,78703221,8961.77
3,10000000,28,Time WITHOUT software prefetching: 165 microseconds.139154903,80368126,108553875143,32968915587,0,21708923,3091,9085,0,15647907209,10844171,77813779,9230.23
