TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
8	2000	71828469178	24582041481	2.921990	17676738627	436346834	2.47	10409788741	141524849	1.36	130445812	91161785	69.88	0	5.662720000
8	2048	77111332389	34363687032	2.243977	18975772519	974711032	5.14	11174167283	154283531	1.38	515178231	348637482	67.67	0	7.699660000
8	2400	123960842156	43004068980	2.882538	30494208521	759185369	2.49	17950889384	243588592	1.36	260467776	193447060	74.27	0	9.625610000
8	2700	176439276966	60039578420	2.938716	43385872504	1140464046	2.63	25539068298	342010049	1.34	325675230	267898608	82.26	0	13.434320000
8	3000	241802187493	85039854937	2.843398	59459331651	1486454678	2.50	34987852390	482149737	1.38	451785435	383588864	84.91	0	19.090630000
9	256	157532545	42564790	3.701006	39836862	898251	2.25	23613325	212424	0.90	38003	14163	37.27	0	0.011350000
9	300	249828088	64777328	3.856721	63033211	1127728	1.79	37227514	318528	0.86	54063	20710	38.31	0	0.018000000
9	400	580475585	148502700	3.908855	146059487	2746272	1.88	85779853	758517	0.88	572043	68695	12.01	0	0.039370000
9	512	1201803535	309893893	3.878113	302047255	13116099	4.34	176648689	1577424	0.89	10515169	180994	1.72	0	0.078380000
9	800	4527563412	1176515138	3.848283	1134440202	22911034	2.02	660951460	5883144	0.89	7466562	947780	12.69	0	0.282080000
9	1024	9453641005	2714029246	3.483249	2365612297	119114099	5.04	1376426357	14595412	1.06	101222506	10109083	9.99	0	0.646140000
9	1200	15188848398	4081875817	3.721046	3796894587	77496382	2.04	2208389395	23069873	1.04	25093799	4275338	17.04	0	0.931310000
9	1500	29567200582	8597417845	3.439079	7388207369	153236951	2.07	4291978288	39381715	0.92	49098899	22100333	45.01	0	2.003930000
9	1800	50979603585	14994324863	3.399927	12735272852	262424890	2.06	7392192616	65898395	0.89	84543056	53434969	63.20	0	3.425950000
9	2000	69923250618	20778004150	3.365253	17455815680	360450051	2.06	10133620419	92015686	0.91	117021491	81865546	69.96	0	4.827760000
9	2048	75040063877	26876263051	2.792057	18735654867	924503762	4.93	10873912827	98244750	0.90	758276249	489128057	64.51	0	6.017110000
9	2400	120608853247	36882481678	3.270085	30105666703	627571085	2.08	17464969021	157318664	0.90	229149151	177963689	77.66	0	8.526330000
9	2700	171553842563	52903151108	3.242791	42819535923	900097906	2.10	24830857387	227337122	0.92	288125522	243199807	84.41	0	11.956010000
9	3000	235294356687	71825734548	3.275906	58704878594	1225323019	2.09	34044454391	304714659	0.90	404225217	352468539	87.20	0	16.055810000
10	256	154163688	38523414	4.001818	39458858	762937	1.93	23121834	44257	0.19	38073	15979	41.97	0	0.010710000
10	300	243672766	58706320	4.150708	62344117	922312	1.48	36329048	50316	0.14	51852	21358	41.19	0	0.018290000
10	400	566814706	134641104	4.209819	144532063	2253779	1.56	83785184	93587	0.11	543617	81628	15.02	0	0.037180000
10	512	1179412184	288982981	4.081251	299542199	15772186	5.27	173379468	526309	0.30	13543002	220136	1.63	0	0.072350000
10	800	4429394766	996688853	4.444110	1123485039	18946448	1.69	646610920	680770	0.11	6710482	534425	7.96	0	0.232210000
10	1024	9256889620	2326747807	3.978467	2343631981	140178658	5.98	1347688906	1283147	0.10	131567369	10447246	7.94	0	0.531170000
10	1200	14845083205	3727830242	3.982232	3758504632	64191043	1.71	2158175278	1863039	0.09	22544384	7176872	31.83	0	0.862950000
10	1500	28915282893	7508363202	3.851077	7315441039	127075936	1.74	4196740253	3585796	0.09	44149633	21267976	48.17	0	1.716150000
10	1800	49875534500	13164179542	3.788731	12612079387	217831551	1.73	7230887171	9302626	0.13	75889091	47437573	62.51	0	2.962510000
10	2000	68354924338	18266338560	3.742125	17280714837	297564275	1.72	9904515001	10573772	0.11	104591213	73202273	69.99	0	4.226980000
10	2048	73395730606	23749133450	3.090459	18552091961	1014759801	5.47	10633700346	9588540	0.09	922282087	547012863	59.31	0	5.527750000
10	2400	117958642960	32866743277	3.588997	29809887385	514696830	1.73	17077784308	14329317	0.08	205888612	169355775	82.26	0	7.445230000
10	2700	167827723069	46640518339	3.598325	42403768259	747438778	1.76	24286461753	20347305	0.08	259438851	223759481	86.25	0	10.426670000
10	3000	230079310224	63822545504	3.604985	58122782207	1009761924	1.74	33282584271	27899684	0.08	373408378	334744174	89.65	0	14.430400000
11	256	151976852	38217714	3.976608	39220864	729607	1.86	22800882	33549	0.15	36794	15492	42.10	0	0.009490000
11	300	240677964	58890223	4.086892	62019213	861043	1.39	35889234	43914	0.12	55547	23709	42.68	0	0.017510000
11	400	558838601	133107964	4.198386	143667839	2059777	1.43	82613445	110845	0.13	441087	63180	14.32	0	0.036570000
11	512	1157608242	285674718	4.052190	297176352	21370481	7.19	170177056	164304	0.10	17422021	224975	1.29	0	0.072810000
11	800	4355091117	1001741105	4.347522	1115449683	16959822	1.52	635690269	519184	0.08	6154892	579025	9.41	0	0.229230000
11	1024	9100133996	2195072882	4.145709	2326649228	176725542	7.60	1324657388	899939	0.07	151570619	5372980	3.54	0	0.504270000
11	1200	14606130719	3668183879	3.981843	3732645956	57609150	1.54	2123058612	1454288	0.07	20797796	6371635	30.64	0	0.878550000
11	1500	28430141770	7622317886	3.729855	7262968607	113677785	1.57	4125436216	2895910	0.07	40616688	20854928	51.35	0	1.737660000
11	1800	49015988680	12858561570	3.811934	12519145359	193250550	1.54	7104546695	5287654	0.07	69490510	44866618	64.57	0	2.986590000
11	2000	67161295932	17784878339	3.776315	17151679097	263584714	1.54	9729059871	6712465	0.07	95753943	70543749	73.67	0	4.058700000
11	2048	72143434961	24621398219	2.930111	18416625882	1316748929	7.15	10449643033	6839511	0.07	1012545227	537562398	53.09	0	5.524870000
11	2400	115952699317	31516460590	3.679116	29592952789	457909846	1.55	16782946579	11011019	0.07	187708432	153151276	81.59	0	7.102600000
11	2700	164926831525	46691465876	3.532269	42090116581	663573130	1.58	23860063282	19917836	0.08	237520265	208135334	87.63	0	10.565100000
11	3000	226050917976	61109706370	3.699100	57687296672	896412900	1.55	32690433261	22913868	0.07	347621532	309614462	89.07	0	14.115970000
12	256	149835820	38641071	3.877631	38993634	717699	1.84	22485190	35591	0.16	40568	15447	38.08	0	0.010430000
12	300	236285823	59583723	3.965610	61555329	787160	1.28	35241015	37688	0.11	64469	23441	36.36	0	0.019340000
12	400	551022687	136315452	4.042261	142841226	1921160	1.34	81460129	78538	0.10	473251	67404	14.24	0	0.033620000
12	512	1140574959	283853801	4.018178	295379913	28837908	9.76	167662261	137176	0.08	15420384	191516	1.24	0	0.068470000
12	800	4292785414	1071816205	4.005151	1108886758	15768512	1.42	626488874	427393	0.07	5685168	636662	11.20	0	0.248090000
12	1024	8963887153	2184404366	4.103584	2312279353	238644989	10.32	1304540641	811413	0.06	126616986	3916281	3.09	0	0.517960000
