LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,640.0,28.0,3746074.0,2306884.0,2775429628,631988551,197.0,583372.0,4097.0,897.0,0.0,382775591.0,164177.0,2039488.0,158.5, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 248 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,248.0
0.0,50000.0,784.0,4.0,4633876.0,2747389.0,3367049365,763107733,0.0,666292.0,5606.0,39581.0,0.0,473042671.0,191494.0,2541854.0,190.28, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 271 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,271.0
0.0,50000.0,784.0,8.0,4478300.0,2743412.0,3365619076,770985548,689.0,743793.0,5877.0,2027.0,0.0,464187367.0,321640.0,2420669.0,191.28, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 291 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,291.0
0.0,50000.0,784.0,12.0,4482349.0,2746928.0,3368185565,772318394,588.0,735185.0,5646.0,1710.0,0.0,464156862.0,271987.0,2470931.0,194.67, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 271 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,271.0
0.0,50000.0,784.0,16.0,4496838.0,2747503.0,3368537777,771105551,490.0,731915.0,6027.0,1611.0,0.0,465700039.0,266204.0,2477896.0,195.07000000000002, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 278 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,278.0
0.0,50000.0,784.0,20.0,4496977.0,2744186.0,3367153066,770826715,392.0,731948.0,5852.0,1644.0,0.0,465038432.0,265873.0,2474494.0,194.79, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 272 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,272.0
0.0,50000.0,784.0,24.0,4518816.0,2741926.0,3367793418,770265751,292.0,729778.0,6244.0,331.0,0.0,466979096.0,255507.0,2413539.0,199.05000000000004, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 276 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,276.0
0.0,50000.0,784.0,28.0,4524662.0,2741801.0,3368136598,772490802,195.0,719812.0,6015.0,295.0,0.0,472336825.0,195221.0,2504453.0,200.01, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 271 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,271.0
0.0,50000.0,896.0,4.0,5117805.0,3087905.0,3826147436,877612265,0.0,834114.0,6180.0,45391.0,0.0,537046494.0,217588.0,2821353.0,217.33, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 304 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,304.0
0.0,50000.0,896.0,8.0,5067368.0,3086828.0,3824168921,874295850,693.0,785245.0,1642.0,47075.0,0.0,527266165.0,288957.0,2764911.0,217.75, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 298 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,298.0
0.0,50000.0,896.0,12.0,5085026.0,3084061.0,3823994968,877134593,593.0,785754.0,1626.0,46316.0,0.0,529304035.0,300055.0,2783411.0,218.84, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 293 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,293.0
0.0,50000.0,896.0,16.0,5112344.0,3085566.0,3826191004,878517763,491.0,840125.0,6697.0,35.0,0.0,532950596.0,216277.0,2823563.0,226.0, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 289 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,289.0
0.0,50000.0,896.0,20.0,5072790.0,3086229.0,3825611186,874766393,396.0,782662.0,1596.0,46989.0,0.0,527549500.0,338999.0,2768483.0,217.56000000000003, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 301 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,301.0
0.0,50000.0,896.0,24.0,5101828.0,3089495.0,3826303989,876325932,0.0,786500.0,6927.0,46691.0,0.0,530447808.0,271831.0,2790110.0,218.11, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 291 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,291.0
0.0,50000.0,896.0,28.0,5106719.0,3079632.0,3823210132,878440106,0.0,784898.0,6557.0,45626.0,0.0,532183064.0,215441.0,2797982.0,219.29, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 294 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,294.0
0.0,50000.0,1024.0,4.0,5753209.0,3488690.0,4343473820,1007038807,785.0,951693.0,6630.0,182.0,0.0,607775091.0,257970.0,3223718.0,259.36, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 296 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,296.0
0.0,50000.0,1024.0,8.0,5739974.0,3478820.0,4352827388,995208173,691.0,890277.0,1666.0,49618.0,0.0,610109316.0,333494.0,3194187.0,252.12, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 282 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,282.0
0.0,50000.0,1024.0,12.0,5746254.0,3479593.0,4354107035,994977788,592.0,888353.0,1690.0,49717.0,0.0,608393267.0,293318.0,3198181.0,252.58, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 289 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,289.0
0.0,50000.0,1024.0,16.0,5741616.0,3480877.0,4356677123,994431503,492.0,943415.0,1636.0,1741.0,0.0,610890445.0,305103.0,3205398.0,255.25, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 277 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,277.0
0.0,50000.0,1024.0,20.0,5732619.0,3478170.0,4352600825,995422021,397.0,887663.0,1736.0,51624.0,0.0,611659437.0,317271.0,3182044.0,252.31000000000003, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 285 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,285.0
0.0,50000.0,1024.0,24.0,5725620.0,3477668.0,4357562509,998341880,295.0,945025.0,7015.0,2582.0,0.0,613322512.0,405830.0,3198189.0,256.7, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 286 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,286.0
0.0,50000.0,1024.0,28.0,5779021.0,3473354.0,4349634970,998075986,0.0,947873.0,7688.0,53435.0,0.0,611401795.0,247906.0,3207046.0,248.87, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 273 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,273.0
0.0,150000.0,128.0,4.0,2331016.0,1482363.0,1691156641,376456870,857.0,342053.0,2420.0,1751.0,0.0,229784646.0,160000.0,1209782.0,95.17, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 93 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,93.0
0.0,150000.0,128.0,8.0,2359076.0,1461929.0,1669094176,374871444,712.0,342362.0,2425.0,508.0,0.0,231891551.0,131932.0,1240726.0,96.21999999999998, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 77 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,77.0
0.0,150000.0,128.0,12.0,2353779.0,1459099.0,1664669563,374942273,616.0,340905.0,2597.0,686.0,0.0,232772445.0,130453.0,1227682.0,95.49, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 73 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,73.0
0.0,150000.0,128.0,16.0,2372974.0,1452158.0,1656593007,372776505,497.0,342778.0,2583.0,157.0,0.0,233661968.0,126027.0,1234205.0,95.36, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 73 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,73.0
