TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
5	512	1438783102	335982678	4.282313	332678571	17883229	5.38	210125050	42262	0.02	11383968	104698	0.92	0	0.084540000
5	800	5418830145	1174621695	4.613256	1249456331	54937737	4.40	786918132	87639	0.01	13212788	184151	1.39	0	0.269220000
5	1024	11325844223	2605654277	4.346641	2607307447	140929277	5.41	1641014650	127281	0.01	91878368	1126277	1.23	0	0.588540000
5	1200	18184143342	4272041026	4.256547	4183635842	192349436	4.60	2631690368	172079	0.01	44487133	6460639	14.52	0	0.971340000
5	1500	35436663883	9172113740	3.863522	8145758872	385964402	4.74	5121557936	267816	0.01	87327904	38717466	44.34	0	2.055040000
5	1800	61144226422	15959742145	3.831154	14046849122	658937387	4.69	8828952726	365600	0.00	149739414	82705737	55.23	0	3.566800000
5	2000	83812488213	22435000709	3.735792	19248834505	902329455	4.69	12096634469	443453	0.00	206430879	130738563	63.33	0	5.015230000
5	2048	90016170683	49342673842	1.824307	20669102024	1230993387	5.96	12990505674	503488	0.00	758423983	544012999	71.73	0	11.015330000
5	2400	144668863125	38170171930	3.790102	33210764903	1579663604	4.76	20865733586	631291	0.00	388499630	285640973	73.52	0	8.526310000
5	2700	205858128655	58678220000	3.508254	47246005768	2266320760	4.80	29679822992	804857	0.00	511350671	405662647	79.33	0	13.101360000
5	3000	282246822993	76542526796	3.687451	64765048669	3098675535	4.78	40680850433	1009607	0.00	705184852	587973069	83.38	0	17.125980000
5	257	189137767	46439847	4.072747	44159017	943517	2.14	28084632	22181	0.08	38554	11784	30.56	0	0.012670000
5	301	300384627	70319076	4.271737	69891829	1715890	2.46	44375372	25093	0.06	51753	19572	37.82	0	0.021890000
5	401	698498814	161659073	4.320814	161872045	6778433	4.19	102463588	32406	0.03	853889	59947	7.02	0	0.038980000
5	513	1445969859	329919003	4.382803	334437020	15400995	4.61	211178207	44460	0.02	3337001	131527	3.94	0	0.081860000
5	801	5450429956	1192117510	4.572058	1255736194	58104281	4.63	791407737	86676	0.01	13287124	245114	1.84	0	0.280130000
5	1025	11354255608	2602317079	4.363133	2614241572	126517160	4.84	1645153408	129492	0.01	27730983	3063022	11.05	0	0.603110000
5	1201	18255024878	4175704888	4.371723	4197702362	196633245	4.68	2641746710	172599	0.01	44626302	4038472	9.05	0	0.966980000
5	1501	35547279861	9182299247	3.871283	8167698135	388808298	4.76	5137242480	261433	0.01	86847765	33721851	38.83	0	2.091850000
5	1801	61303381509	17400025348	3.523178	14078402590	667141523	4.74	8851510136	363818	0.00	150179085	83650613	55.70	0	3.887780000
5	2001	84008894681	24337227117	3.451868	19287765420	916840205	4.75	12124465766	445997	0.00	206368528	131191319	63.57	0	5.438180000
5	2049	90129209546	24318708846	3.706168	20696644470	1023893521	4.95	13006921572	615104	0.00	221272162	145262079	65.65	0	5.461070000
5	2401	144951514582	39588082246	3.661494	33266775336	1602426388	4.82	20905774882	635484	0.00	356475295	265149922	74.38	0	8.842120000
5	2701	206215741135	61747524535	3.339660	47316862726	2273749077	4.81	29730479072	817220	0.00	509039012	404340408	79.43	0	13.799730000
5	3001	282688190725	85328708367	3.312932	64852483177	3139119844	4.84	40743355523	984328	0.00	694960858	580265957	83.50	0	19.046200000
6	256	174777322	48266494	3.621090	41970494	1098716	2.62	26075691	44494	0.17	39141	15029	38.40	0	0.012470000
6	300	276842037	74604047	3.710818	66369761	1250900	1.88	41086672	59007	0.14	51318	17789	34.66	0	0.022300000
6	400	646502719	175836545	3.676726	154215900	4233631	2.75	95212816	108915	0.11	749958	140842	18.78	0	0.046380000
6	512	1344257805	344669675	3.900134	319630331	14487692	4.53	197005470	110788	0.06	7916622	101470	1.28	0	0.086590000
6	800	5066745025	1255364593	4.036075	1200944015	38089928	3.17	738020417	708633	0.10	11074947	197663	1.78	0	0.285340000
6	1024	10571856673	2699421883	3.916341	2503451271	115741273	4.62	1536287224	597973	0.04	66220394	1024536	1.55	0	0.611150000
6	1200	16966889626	4475940597	3.790687	4016066166	133771421	3.33	2462584732	2001526	0.08	37168498	5261385	14.16	0	1.007780000
