LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,250000,1024,4,27996831,16295485,21655487130,4933885132,783,4399204,1644,1106,0,3097600513,1475206,15897980,1279.85," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 288 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,8,28032207,16372173,21715467893,4961557053,684,4392664,6972,352,0,3098413734,1436562,15622409,1320.39," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 301 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,12,27986606,16280660,21647468548,4939125196,587,4402608,6917,269,0,3107544123,1517130,15898483,1283.14," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 281 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,16,27938515,16259141,21629430311,4953838917,488,4409607,7039,2600,0,3108312266,1332942,15737959,1258.19," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 287 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,20,27967427,16281873,21647944911,4951294340,391,4387594,7359,1931,0,3109139074,1262824,15873410,1285.76," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 282 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,24,27924218,16230140,21656735866,4959865873,293,4408093,7861,57171,0,3099618387,1721610,15545662,1234.44," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 290 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,1024,28,27961942,16294041,21655375029,4928914435,195,4409013,1678,2078,0,3096260440,1408559,15883975,1278.80," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 279 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,90,4,5079863,3074686,3870740875,888657630,45,771391,1760,120,0,536281041,284139,2824179,313.44,"malloc(): corrupted top size "
0,500000,90,8,5045995,3071003,3872927721,877848508,36,769405,1949,1568,0,541665043,240053,2798620,310.61,"malloc(): corrupted top size "
0,500000,90,12,5015065,3078172,3860924538,904594594,38,780737,1933,1438,0,526450724,274332,2780485,314.98,"malloc(): corrupted top size "
0,500000,90,16,5076209,3074625,3870249795,881672073,25,764806,1802,229,0,538247364,226747,2812360,311.21,"malloc(): corrupted top size "
0,500000,90,20,5005815,3066169,3863323039,886356281,21,769330,1889,2821,0,540194331,351390,2782593,311.17,"malloc(): corrupted top size "
0,500000,90,24,5059133,3061911,3860747853,885210019,19,767855,1893,476,0,541774191,268067,2801433,312.37,"malloc(): corrupted top size "
0,500000,90,28,5025327,3073579,3871224636,888846572,12,780927,2086,2462,0,526484292,334920,2716326,314.83,"malloc(): corrupted top size "
0,500000,180,4,10033062,5967375,7720792009,1741578087,40,1533139,1918,3035,0,1082255719,502005,5449087,606.74,"malloc(): corrupted top size "
0,500000,180,8,10109836,5937497,7692334686,1747442111,36,1511570,2052,386,0,1084757345,584869,5533532,636.94,"malloc(): corrupted top size "
0,500000,180,12,10031443,5937908,7714736868,1744822736,29,1527872,2068,1249,0,1096198585,587946,5477455,610.62,"malloc(): corrupted top size "
0,500000,180,16,9811176,5846738,7647778237,1764851291,24,1524191,1834,3165,0,1096557225,531322,5533140,625.15,"malloc(): corrupted top size "
0,500000,180,20,9831654,5902226,7719835715,1769108973,19,1532271,2064,3950,0,1078907849,531389,5431897,614.26,"malloc(): corrupted top size "
0,500000,180,24,9820936,5829840,7624407163,1739297384,0,1528930,2088,3181,0,1087428343,562027,5515807,621.11,"malloc(): corrupted top size "
0,500000,180,28,9857507,5921552,7734611925,1775663392,9,1527760,2018,3998,0,1079837101,668293,5425364,610.14,"malloc(): corrupted top size "
0,500000,360,4,19529989,11464180,15251565622,3503022906,39,3068611,1810,1480,0,2174852985,1078184,10890491,1243.14,"malloc(): corrupted top size "
0,500000,360,8,19515132,11429612,15182261847,3478350782,34,3073347,1979,2532,0,2172987873,954887,11075882,1285.95,"malloc(): corrupted top size "
0,500000,360,12,19511180,11420652,15194899698,3485158341,0,3074455,2032,3464,0,2172855620,1168062,10887570,1240.77,"malloc(): corrupted top size "
0,500000,360,16,19610534,11482877,15241071455,3509071336,24,3059937,1698,3500,0,2186275834,969812,10883939,1267.64,"malloc(): corrupted top size "
0,500000,360,20,19523000,11502359,15300343413,3495010163,19,3071779,1987,4093,0,2168205618,1005914,10856872,1239.21,"malloc(): corrupted top size "
0,500000,360,24,19581199,11463477,15204142560,3525452179,14,3051700,1897,2271,0,2194777054,1237740,10977199,1327.61,"malloc(): corrupted top size "
0,500000,360,28,19458831,11404980,15179537464,3483620732,0,3102247,1966,4380,0,2175424413,1244747,10836308,1244.20,"malloc(): corrupted top size "
0,500000,720,4,39339372,22891269,30508472130,7035804507,780,6196839,5882,38973,0,4354924073,1771914,21795949,1795.82," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 275 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,720,8,39035217,22762407,30474480871,7085751076,686,6205227,5554,41241,0,4355248937,1883922,21775812,1802.44," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 278 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,720,12,39184415,22849889,30524226075,7057027451,586,6188015,6020,41929,0,4358245785,2080854,21777093,1797.69," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 276 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,720,16,39091238,22687646,30355415710,7058828061,488,6122821,1873,40194,0,4397419511,2346304,22354100,1880.61," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 283 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
